AND
x1,x2,Yd,w1,w2,y,output,delta,updated w1,updated w2,error,epoch
0,0,0,0.32601782576532234,0.5220914154496935,0.42512891982673384,1,-1,0.32601782576532234,0.5220914154496935,1,1,
0,1,0,0.32601782576532234,0.5220914154496935,0.8472203352764274,1,-1,0.32601782576532234,0.42209141544969353,2,1,
1,0,0,0.32601782576532234,0.42209141544969353,0.5511467455920562,1,-1,0.22601782576532234,0.42209141544969353,3,1,
1,1,1,0.22601782576532234,0.42209141544969353,0.7732381610417498,1,0,0.22601782576532234,0.42209141544969353,3,1,
0,0,0,0.22601782576532234,0.42209141544969353,0.12512891982673385,1,-1,0.22601782576532234,0.42209141544969353,1,2,
0,1,0,0.22601782576532234,0.42209141544969353,0.44722033527642735,1,-1,0.22601782576532234,0.32209141544969355,2,2,
1,0,0,0.22601782576532234,0.32209141544969355,0.15114674559205618,1,-1,0.12601782576532233,0.32209141544969355,3,2,
1,1,1,0.12601782576532233,0.32209141544969355,0.2732381610417497,1,0,0.12601782576532233,0.32209141544969355,3,2,
0,0,0,0.12601782576532233,0.32209141544969355,-0.17487108017326616,0,0,0.12601782576532233,0.32209141544969355,0,3,
0,1,0,0.12601782576532233,0.32209141544969355,0.1472203352764274,1,-1,0.12601782576532233,0.22209141544969355,1,3,
1,0,0,0.12601782576532233,0.22209141544969355,-0.14885325440794384,0,0,0.12601782576532233,0.22209141544969355,1,3,
1,1,1,0.12601782576532233,0.22209141544969355,0.07323816104174968,1,0,0.12601782576532233,0.22209141544969355,1,3,
0,0,0,0.12601782576532233,0.22209141544969355,-0.27487108017326617,0,0,0.12601782576532233,0.22209141544969355,0,4,
0,1,0,0.12601782576532233,0.22209141544969355,-0.05277966472357262,0,0,0.12601782576532233,0.22209141544969355,0,4,
1,0,0,0.12601782576532233,0.22209141544969355,-0.14885325440794384,0,0,0.12601782576532233,0.22209141544969355,0,4,
1,1,1,0.12601782576532233,0.22209141544969355,0.07323816104174968,1,0,0.12601782576532233,0.22209141544969355,0,4,
